R0000100,T0897400,T0897500,T2053900,T2054000,T3024800,T3024900,T3955100,T3955200,T4892800,T4892900
2893,5,7,5,7,5,7,5,7,5,7
2894,5,6,5,6,5,3,5,6,5,6
2895,6,2,6,2,6,2,6,2,6,2
2896,5,10,5,10,5,10,5,10,5,10
2897,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2898,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2899,5,4,5,4,5,4,5,4,5,4
2900,5,7,5,7,5,7,-5,-5,-5,-5
2901,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2902,5,3,5,3,5,3,5,3,5,3
2903,-5,-5,5,9,5,9,5,9,-5,-5
2904,5,10,5,10,5,10,5,11,5,10
2905,-5,-5,6,1,6,1,6,1,6,1
2906,5,9,5,9,5,9,-4,-4,5,9
2907,-5,-5,-5,-5,-5,-5,-5,-5,6,0
2908,5,2,5,2,5,2,5,2,5,2
2909,5,6,5,6,5,6,5,5,5,5
2910,5,7,5,7,5,7,5,7,5,7
2911,5,3,5,3,5,3,5,3,5,3
2912,5,9,5,9,5,9,5,9,5,9
2913,5,9,5,9,-5,-5,-5,-5,-5,-5
2914,6,0,6,0,6,0,6,0,6,0
2915,5,11,5,11,5,11,5,11,5,11
2916,-5,-5,-5,-5,5,10,-5,-5,5,10
2917,-5,-5,-5,-5,5,8,5,8,5,6
2918,5,5,5,6,5,5,5,5,5,5
2919,5,2,5,2,5,2,5,2,5,2
2920,5,8,5,8,5,8,5,8,5,8
2921,6,0,6,0,6,0,6,0,6,0
2922,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2923,6,1,6,0,6,0,6,0,-5,-5
2924,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2925,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2926,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2927,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2928,5,0,5,0,5,0,5,0,5,0
2929,5,6,5,6,5,6,5,6,5,6
2930,5,2,5,2,5,2,5,2,5,2
2931,5,11,-5,-5,-5,-5,-5,-5,-5,-5
2932,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2933,5,6,5,6,5,8,5,1,5,6
2934,-5,-5,-5,-5,-5,-5,4,11,-5,-5
2935,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2936,5,7,5,7,5,7,5,6,5,6
2937,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2938,5,0,5,0,-5,-5,5,0,-5,-5
2939,6,2,6,2,6,2,6,2,6,2
2940,5,5,5,3,5,4,5,3,5,3
2941,5,9,5,9,5,9,5,9,5,9
2942,5,2,5,2,5,1,5,2,5,2
2943,5,4,-5,-5,-5,-5,-5,-5,-5,-5
2944,5,8,5,8,5,8,5,7,5,8
2945,6,2,6,2,6,2,6,2,6,2
2946,5,8,5,8,5,8,5,8,5,8
2947,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2948,5,4,5,4,5,4,5,4,5,4
2949,5,8,5,8,5,8,5,8,5,8
2950,6,-4,6,0,6,1,6,1,6,0
2951,6,3,6,2,6,3,6,2,6,2
2952,5,7,5,7,5,7,5,7,5,7
2953,5,9,5,8,5,8,5,8,5,7
2954,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2955,5,8,5,8,5,8,5,8,5,8
2956,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2957,6,0,6,0,6,0,6,0,-5,-5
2958,6,0,6,0,6,0,6,0,6,0
2959,5,5,5,5,5,4,5,5,5,4
2960,5,5,5,3,5,5,5,5,5,5
2961,5,2,5,1,5,2,5,1,5,1
2962,6,0,6,1,6,0,6,1,6,1
2963,6,0,6,0,6,0,6,0,5,9
2964,5,6,5,5,5,5,5,6,5,5
2965,-5,-5,5,11,5,11,5,11,5,11
2966,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2967,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2968,5,7,5,8,5,8,5,7,5,6
2969,-5,-5,-5,-5,5,5,-5,-5,-5,-5
2970,5,1,5,1,5,1,5,1,5,1
2971,5,4,5,4,5,4,5,4,5,4
2972,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2973,6,2,6,1,6,2,6,1,6,2
2974,5,10,5,11,5,10,5,10,5,10
2975,6,5,6,5,6,5,6,5,6,5
2976,5,9,5,9,5,8,5,8,5,7
2977,6,0,6,1,6,0,5,8,5,8
2978,5,2,5,2,5,2,5,2,-5,-5
2979,5,0,5,1,5,2,5,1,5,1
2980,5,9,5,9,5,9,5,9,5,9
2981,5,6,5,6,5,6,-5,-5,-5,-5
2982,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2983,-5,-5,5,3,5,3,5,2,5,1
2984,6,2,6,2,6,2,6,2,6,2
2985,5,11,5,11,5,11,5,11,5,10
2986,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2987,5,1,5,0,5,0,5,0,5,0
2988,6,1,6,1,6,1,6,1,6,1
2989,5,8,5,8,5,8,5,8,5,8
2990,5,5,5,5,5,5,5,5,5,5
2991,5,2,5,2,5,1,5,1,5,1
2992,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2993,5,5,5,-4,5,6,5,6,5,5
2994,6,1,6,1,6,1,6,1,6,1
2995,5,5,5,3,5,5,5,4,5,4
2996,5,10,5,10,5,10,5,9,5,10
2997,6,1,6,1,6,1,6,1,6,1
2998,5,9,5,-4,5,9,-5,-5,-5,-5
2999,5,6,5,6,5,6,5,8,5,8
3000,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3001,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3002,5,11,5,10,5,11,-5,-5,5,11
3003,6,3,6,3,6,3,6,3,6,3
3004,5,4,5,4,5,-4,5,4,5,4
3005,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3006,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3007,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3008,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3009,5,3,5,3,-5,-5,-5,-5,-5,-5
3010,-5,-5,5,5,5,5,5,5,5,6
3011,5,4,5,4,5,4,5,4,5,4
3012,-5,-5,6,7,5,8,5,8,5,8
3013,5,2,5,2,5,1,5,1,-5,-5
3014,5,3,5,3,5,3,5,3,5,3
3015,-5,-5,6,2,6,3,6,2,6,2
3016,6,4,6,4,6,3,6,3,6,3
3017,5,11,5,11,5,11,5,11,5,11
3018,6,0,6,0,6,0,6,0,6,0
3019,5,10,5,10,5,10,5,10,5,10
3020,5,1,5,1,5,1,5,1,5,1
3021,5,6,5,5,5,4,5,6,5,6
3022,-5,-5,-5,-5,6,2,-5,-5,-5,-5
3023,5,8,5,8,5,8,5,8,-5,-5
3024,6,0,6,0,6,0,5,11,5,11
3025,5,3,5,2,5,2,5,2,5,2
3026,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3027,5,5,5,3,5,3,5,3,5,3
3028,5,9,5,9,5,9,5,10,5,10
3029,5,5,5,5,5,6,-5,-5,-5,-5
3030,6,1,6,0,6,0,6,5,5,8
3031,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3032,5,5,5,5,-5,-5,-5,-5,-5,-5
3033,6,1,6,0,6,1,6,1,6,1
3034,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3035,5,0,5,0,5,0,5,0,5,-4
3036,6,4,5,4,5,4,5,4,5,4
3037,6,0,6,0,6,0,5,11,5,11
3038,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3039,5,6,5,5,5,5,5,4,5,5
3040,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3041,5,6,5,6,5,6,5,6,5,6
3042,5,0,5,0,5,0,5,0,5,0
3043,5,2,5,2,5,2,5,2,5,2
3044,-5,-5,5,7,-5,-5,-5,-5,-5,-5
3045,-2,-2,5,3,-2,-2,-2,-2,-2,-2
3046,5,6,5,7,5,5,5,6,-5,-5
3047,5,11,5,11,5,10,5,11,5,10
3048,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3049,4,11,-5,-5,-5,-5,-5,-5,-5,-5
3050,5,6,5,6,5,6,-5,-5,5,6
3051,5,4,5,3,5,4,5,4,5,3
