R0000100,T0897400,T0897500,T2053900,T2054000,T3024800,T3024900,T3955100,T3955200,T4892800,T4892900
1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,5,2,5,2,5,2,5,0,5,0
3,5,10,5,10,-5,-5,5,10,5,10
4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,5,5,5,5,5,5,5,5,5,5
7,5,9,5,9,-4,68,-5,-5,-5,-5
8,5,3,5,4,5,3,5,3,5,3
9,5,6,5,7,5,6,5,6,5,6
10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
12,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
13,6,0,-5,-5,-5,-5,-5,-5,-5,-5
14,5,8,5,8,5,8,5,8,5,7
15,6,2,6,2,6,2,6,2,6,2
16,5,4,5,4,5,4,5,4,5,4
17,5,10,5,9,5,9,5,9,5,9
18,5,9,5,9,5,9,5,9,5,9
19,5,5,-5,-5,5,5,-5,-5,-5,-5
20,5,4,5,4,-5,-5,5,4,5,4
21,5,2,5,2,5,2,5,2,5,2
22,5,4,5,4,5,4,5,4,5,3
23,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
25,5,6,5,6,5,6,5,6,5,6
26,-5,-5,-5,-5,5,8,5,7,-5,-5
27,5,2,5,2,5,2,5,2,5,2
28,-5,-5,-5,-5,5,5,-5,-5,-5,-5
29,5,8,5,9,5,8,5,8,5,8
30,5,4,5,4,5,4,5,4,5,4
31,5,10,5,10,5,10,5,9,5,9
32,5,2,-5,-5,5,2,-5,-5,-5,-5
33,5,7,5,7,5,7,5,8,5,7
34,5,11,5,10,5,11,5,10,5,10
35,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
36,5,10,5,10,5,10,5,10,5,11
37,5,7,5,7,5,6,5,6,5,-4
38,5,4,5,4,5,4,5,3,5,3
39,6,0,6,0,6,0,6,0,6,0
40,6,6,5,6,5,6,5,6,5,7
41,6,2,6,2,6,2,6,2,6,2
42,6,0,6,0,6,0,6,0,6,0
43,5,5,5,6,5,6,5,6,5,5
44,5,4,5,4,5,4,5,3,5,4
45,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
46,5,2,5,2,-5,-5,-5,-5,-5,-5
47,6,1,6,1,6,1,6,0,6,1
48,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
49,5,9,5,9,5,9,5,8,5,9
50,5,5,5,5,5,6,5,5,5,4
51,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,-5,-5,-5,-5,-5,-5,6,0,6,0
53,5,8,5,8,5,8,5,8,5,8
54,-5,-5,-5,-5,6,0,-5,-5,6,0
55,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,5,7,5,7,5,6,5,6,5,6
58,5,3,5,3,5,2,5,2,5,2
59,5,9,5,9,5,9,5,9,5,9
60,-5,-5,-5,-5,-5,-5,5,10,-5,-5
61,5,7,5,6,5,6,5,6,5,6
62,5,10,5,10,5,10,5,10,5,10
63,5,11,5,10,5,10,5,11,5,11
64,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
65,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
66,5,8,5,8,5,9,5,8,5,8
67,6,1,6,2,6,2,6,2,6,2
68,5,10,5,10,5,10,5,10,5,10
69,6,2,6,2,6,2,6,2,6,2
70,-5,-5,5,10,5,10,5,10,5,10
71,-5,-5,-5,-5,5,10,-5,-5,5,10
72,5,6,5,6,5,6,5,6,5,6
73,5,10,5,10,5,10,-5,-5,5,10
74,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
75,5,4,5,4,5,4,5,4,5,4
76,6,2,6,2,6,1,6,1,6,1
77,5,3,5,3,5,3,5,3,5,3
78,5,4,-5,-5,-5,-5,-5,-5,-5,-5
79,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
80,5,8,5,8,5,9,5,8,5,8
81,6,0,-5,-5,-5,-5,-5,-5,6,0
82,-5,-5,5,9,-5,-5,-5,-5,-5,-5
83,6,1,6,0,6,0,6,0,6,0
84,5,9,5,10,5,10,5,9,5,10
85,5,6,5,6,5,6,5,6,5,6
86,4,11,5,1,5,1,5,1,5,0
87,5,8,5,9,8,9,5,8,5,9
88,6,0,6,0,6,0,6,0,6,0
89,5,7,5,7,-5,-5,-5,-5,-5,-5
90,5,11,5,11,5,11,5,11,6,0
91,5,7,5,7,5,7,5,7,5,7
92,5,0,4,11,5,0,4,11,4,11
93,5,10,5,10,5,10,5,10,5,10
94,5,8,5,8,5,8,5,8,5,8
95,5,5,5,5,5,5,5,5,5,5
96,5,3,5,4,5,3,5,3,5,3
97,5,7,5,7,5,7,5,7,5,7
98,5,4,5,4,5,4,5,4,5,4
99,5,5,5,5,5,5,5,5,5,5
100,5,5,5,4,5,5,5,5,5,5
101,-5,-5,-5,-5,5,6,-5,-5,-5,-5
102,5,1,5,1,5,1,5,2,5,1
103,5,11,5,11,5,11,5,11,5,11
104,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
105,5,7,5,7,5,-4,5,7,-5,-5
106,5,9,5,9,5,9,5,9,5,9
107,5,10,5,9,5,9,5,9,5,9
108,5,8,5,8,5,8,5,8,5,8
109,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
110,5,11,5,11,6,0,6,0,6,0
111,5,2,5,2,5,2,5,2,5,2
112,5,8,5,8,5,8,5,8,5,8
113,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
114,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
115,-5,-5,-5,-5,-5,-5,-5,-5,5,6
116,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
117,5,11,5,11,6,0,5,10,5,11
118,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
119,5,10,5,10,5,10,5,10,5,11
120,6,0,6,0,6,0,6,0,6,0
121,5,5,5,5,5,5,5,4,5,4
122,6,1,6,1,6,1,6,1,6,1
123,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
124,5,1,5,2,5,2,5,1,5,2
125,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
126,6,0,6,0,6,0,6,0,6,0
127,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
128,5,0,5,0,5,0,5,0,5,0
129,5,11,5,11,5,10,5,11,5,10
130,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
131,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
133,5,2,5,2,-5,-5,5,2,5,3
134,-5,-5,-5,-5,5,8,-5,-5,-5,-5
135,-5,-5,5,7,5,7,5,7,5,7
136,5,1,5,0,5,1,5,1,5,1
137,5,6,5,6,5,6,5,6,5,6
138,5,3,5,3,5,3,5,3,5,3
139,5,9,5,8,5,9,5,8,-5,-5
140,5,10,5,9,6,0,5,9,5,10
141,5,4,-5,-5,5,4,5,4,5,4
142,-5,-5,-5,-5,5,10,5,10,-5,-5
143,5,3,5,4,5,4,-5,-5,-5,-5
144,5,7,-5,-5,5,5,5,5,5,4
145,5,10,5,10,5,10,5,10,-5,-5
146,5,8,5,8,5,8,5,8,5,9
147,5,1,5,2,5,2,5,1,5,2
148,5,10,5,11,5,11,5,10,5,10
149,5,6,5,6,5,6,5,6,5,6
150,5,6,5,6,5,6,5,5,-5,-5
151,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
152,5,4,5,4,5,4,5,4,5,4
153,5,1,5,2,5,2,5,1,5,1
154,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
155,-5,-5,-5,-5,5,11,5,10,-5,-5
156,5,8,5,8,5,8,5,8,5,8
157,-5,-5,5,3,5,3,5,2,5,2
158,5,3,5,3,-5,-5,5,3,5,3
159,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
160,5,7,5,7,5,8,5,7,5,7
161,5,8,5,9,5,9,5,8,5,8
162,5,11,-5,-5,-5,-5,-5,-5,-5,-5
163,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
164,-5,-5,-5,-5,-5,-5,5,2,5,2
165,5,6,5,6,5,6,5,6,5,6
166,5,10,5,9,-5,-5,5,9,-5,-5
167,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
168,-5,-5,-5,-5,6,0,5,10,5,10
169,-5,-5,-5,-5,5,3,5,3,5,3
170,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
171,5,9,5,9,5,9,5,10,5,10
172,5,2,5,2,5,2,5,2,5,2
173,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
174,5,0,5,0,5,0,5,0,5,0
175,-5,-5,5,6,5,6,5,6,5,5
176,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
177,-5,-5,-5,-5,6,0,-5,-5,-5,-5
178,5,11,6,0,6,0,6,0,-5,-5
179,5,0,5,1,5,1,5,1,5,2
180,-5,-5,-5,-5,-5,-5,-5,-5,5,3
181,5,8,5,8,5,8,5,11,5,8
182,-5,-5,-5,-5,5,10,5,10,5,10
183,5,3,5,4,5,3,-5,-5,-5,-5
184,5,6,5,5,5,6,5,5,5,5
185,6,0,6,0,6,0,6,0,6,0
186,5,5,5,5,5,5,5,4,5,4
187,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
188,5,6,5,6,5,7,5,6,5,6
189,6,2,6,3,6,-4,6,3,6,3
190,5,3,5,3,5,3,5,3,5,3
191,5,8,4,8,5,8,5,8,5,8
192,5,2,5,2,5,1,5,2,5,2
193,5,10,5,10,5,10,5,10,5,10
194,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
195,6,-4,6,0,6,0,6,0,6,0
196,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
197,5,2,5,2,-5,-5,5,2,5,2
198,5,10,5,11,5,10,5,10,-5,-5
199,5,8,5,6,5,6,5,7,5,7
200,5,3,5,3,5,3,5,3,5,3
201,5,9,5,9,5,9,5,9,5,8
202,6,0,6,1,6,1,6,1,6,1
203,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
204,-5,-5,-5,-5,5,1,5,2,5,1
205,5,6,5,5,5,2,5,4,5,2
206,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
207,5,11,5,10,5,11,-5,-5,-5,-5
208,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
209,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
210,5,10,5,10,5,10,5,10,5,10
211,5,3,5,3,5,2,5,3,5,3
212,6,0,6,0,6,0,6,0,6,0
213,6,0,6,0,-5,-5,-5,-5,-5,-5
214,6,0,6,0,6,0,6,0,6,0
215,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
216,-5,-5,5,9,5,9,-5,-5,-5,-5
217,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
218,5,7,5,7,5,7,5,7,5,7
219,5,4,5,4,5,4,5,4,5,4
220,5,7,5,7,5,7,5,7,5,7
221,5,2,5,1,5,2,5,1,5,2
222,5,7,5,4,5,6,-2,-2,6,6
223,5,4,5,6,5,4,5,5,5,5
224,5,4,5,4,5,4,5,4,5,4
225,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
226,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
227,5,4,5,5,5,4,5,4,5,4
228,5,2,5,3,5,3,5,3,5,3
229,5,6,5,6,5,7,5,6,5,7
230,5,10,5,10,5,10,5,10,5,10
231,5,1,5,1,5,1,5,0,5,0
232,5,9,5,9,5,8,5,9,-5,-5
233,5,10,5,10,5,10,5,10,5,10
234,5,8,5,8,5,9,5,9,5,8
235,5,8,5,8,5,8,5,8,5,8
236,5,5,5,5,5,5,5,5,5,5
237,5,5,5,5,5,5,5,5,5,5
238,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
239,5,2,5,2,5,2,5,2,5,2
240,5,5,5,5,5,5,5,5,5,5
241,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
242,5,5,5,5,5,6,5,6,5,5
243,6,0,6,0,6,0,6,0,6,0
244,5,2,5,2,5,2,5,2,5,2
245,5,4,5,4,5,4,5,4,5,4
246,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
247,5,9,5,10,5,11,5,11,5,10
248,6,0,6,0,6,0,6,0,6,0
249,5,6,5,5,5,7,5,5,5,6
250,5,2,5,2,5,2,5,2,5,2
251,5,6,5,6,5,6,5,6,5,6
252,5,4,5,5,5,4,5,4,5,4
253,5,8,5,8,5,9,5,8,5,8
254,5,4,5,4,5,4,5,4,5,4
255,5,3,5,4,5,4,5,4,5,3
256,5,4,5,4,5,4,5,4,5,3
257,5,8,5,8,5,8,5,8,5,8
258,5,6,5,6,5,6,5,4,5,5
259,6,4,6,4,6,4,6,4,6,4
260,5,8,5,8,5,8,5,7,5,8
261,5,-4,5,11,6,0,5,11,5,10
262,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
263,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
264,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
265,5,9,-5,-5,5,9,5,9,5,9
266,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
267,-5,-5,-5,-5,5,8,5,8,5,8
268,5,10,5,7,5,8,5,6,5,9
269,5,9,5,9,5,9,5,9,5,8
270,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
271,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
272,5,-4,5,6,5,6,5,7,5,7
273,6,0,6,0,6,0,6,0,6,0
274,8,4,6,3,6,4,6,4,6,3
275,5,5,5,5,5,5,5,5,5,5
276,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
277,5,11,5,11,5,11,5,11,5,11
278,5,3,-5,-5,5,2,-5,-5,-5,-5
279,6,0,6,0,6,0,-5,-5,6,0
280,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
281,6,3,6,3,6,3,6,3,6,3
282,5,4,5,4,5,4,5,4,5,4
283,5,9,5,9,5,9,5,9,5,9
284,5,6,5,5,5,5,5,5,5,5
285,5,1,5,1,5,1,5,1,5,1
286,5,4,5,4,5,4,5,4,5,4
287,5,9,5,9,5,9,-5,-5,-5,-5
288,5,6,5,6,5,7,5,7,5,6
289,5,7,5,7,5,7,5,6,5,7
290,5,4,5,4,5,4,5,5,5,4
291,6,1,6,1,6,2,6,1,6,2
292,5,5,5,5,5,5,5,5,5,4
293,5,4,5,4,5,4,5,4,5,4
294,5,5,5,4,5,4,5,4,5,4
295,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
296,5,10,5,8,5,11,-5,-5,6,0
297,5,1,5,1,5,1,5,1,5,1
298,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
299,5,7,5,7,5,7,5,6,5,6
300,5,-4,-5,-5,-5,-5,-5,-5,-5,-5
301,5,9,5,9,5,9,5,9,5,9
302,5,2,5,1,5,1,5,2,5,1
303,5,4,5,4,5,4,5,4,5,4
304,5,10,5,8,5,6,5,7,5,6
305,4,11,4,11,4,11,4,11,4,11
306,5,10,5,9,5,9,5,10,5,9
307,5,3,5,3,5,3,5,3,5,3
308,5,9,5,8,5,8,5,11,5,8
309,-5,-5,-5,-5,-5,-5,-5,-5,5,10
310,5,11,5,10,5,10,5,10,5,10
311,6,1,6,1,6,1,6,1,6,0
312,5,5,5,5,5,5,5,4,5,5
313,5,7,5,7,5,7,5,7,5,7
314,5,4,-5,-5,-5,-5,5,5,-5,-5
315,6,0,6,1,-5,-5,-5,-5,-5,-5
316,5,6,5,7,5,6,5,6,5,6
317,6,1,6,1,6,1,6,1,6,1
318,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
319,5,4,5,5,5,5,5,5,5,4
320,5,9,5,9,5,9,5,9,5,9
321,5,6,-5,-5,-5,-5,-5,-5,-5,-5
322,-5,-5,-5,-5,5,4,5,4,-5,-5
323,5,11,5,11,5,11,6,0,5,11
324,5,10,5,10,5,10,5,10,-5,-5
325,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
326,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
327,5,9,-5,-5,-5,-5,-5,-5,-5,-5
328,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
329,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
330,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
331,5,4,5,4,-5,-5,5,4,5,4
332,5,10,5,10,5,10,5,10,5,10
333,5,-4,5,9,5,9,5,9,5,9
334,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
335,5,4,5,5,5,5,5,5,5,5
336,-5,-5,5,9,5,9,5,9,5,9
337,5,10,5,11,5,10,-4,10,5,10
338,5,3,5,3,5,3,-5,-5,-5,-5
339,5,1,5,1,5,1,5,0,5,1
340,5,5,5,3,5,5,5,2,5,4
341,5,5,5,4,-5,-5,-5,-5,-5,-5
342,5,10,5,10,5,10,5,10,5,10
343,4,9,-5,-5,5,6,5,0,5,0
344,5,3,5,3,5,3,5,2,-5,-5
345,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
346,5,9,5,7,5,8,5,8,5,9
347,-5,-5,-5,-5,-5,-5,-5,-5,5,6
348,5,8,5,8,5,8,-5,-5,-5,-5
349,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
350,5,9,5,9,5,9,5,9,5,9
351,6,1,6,1,6,1,6,1,-5,-5
352,5,4,5,4,5,4,5,4,5,4
353,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
354,5,4,5,4,5,4,5,3,5,3
355,5,5,5,4,5,4,5,4,5,4
356,5,7,5,7,5,7,5,7,5,7
357,5,8,5,8,5,8,5,8,5,7
358,6,0,6,0,6,0,6,0,6,0
359,5,4,5,4,-5,-5,-5,-5,-5,-5
360,5,2,5,2,5,2,5,2,5,2
361,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
362,5,11,5,11,5,11,5,11,5,11
363,5,5,5,5,5,5,5,5,5,4
364,6,2,5,10,6,3,6,3,6,3
365,5,7,5,7,5,6,5,7,5,7
366,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
367,5,10,5,9,5,9,5,9,5,9
368,-5,-5,5,4,5,3,5,4,5,3
369,5,5,5,5,5,5,5,5,5,5
370,5,7,5,7,5,7,5,7,5,6
371,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
372,6,0,6,0,6,0,6,0,6,0
373,5,0,5,0,5,0,5,0,5,0
374,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
375,5,5,5,6,5,4,-5,-5,5,4
376,5,4,5,5,5,5,5,6,5,6
377,5,6,5,6,5,6,5,6,-5,-5
378,5,7,5,7,5,7,5,7,5,7
379,5,2,5,2,5,-4,5,2,5,2
380,6,1,6,1,6,1,6,1,6,1
381,6,2,6,2,6,2,6,2,6,2
382,5,0,5,0,5,0,5,0,5,0
383,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
384,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
385,5,2,5,2,5,3,5,2,5,2
386,5,6,5,6,5,6,5,6,5,6
387,6,2,6,3,6,3,6,1,6,2
388,5,1,5,2,5,1,5,1,5,0
389,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
390,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
391,5,7,5,7,5,6,5,6,5,7
392,6,0,6,0,6,0,6,0,6,0
393,5,11,5,11,5,11,5,11,5,11
394,5,11,5,11,5,11,5,11,5,11
395,5,2,5,2,5,2,5,2,5,2
396,6,5,6,4,6,4,6,4,6,4
397,5,6,5,6,5,7,-5,-5,-5,-5
398,-5,-5,6,0,6,0,6,0,6,2
399,5,4,5,4,5,4,5,4,5,4
400,5,5,5,6,5,5,5,5,5,5
401,5,3,5,2,5,3,5,2,5,3
402,5,5,5,4,5,5,5,4,5,5
403,6,0,6,2,6,0,6,0,5,11
404,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
405,5,0,5,0,5,0,5,0,5,0
406,5,5,5,5,5,5,5,5,5,5
407,5,5,5,5,5,5,5,5,5,5
408,6,2,6,2,6,2,6,2,6,2
409,5,11,5,10,5,10,5,10,5,10
410,5,10,5,11,6,0,5,11,-5,-5
411,5,11,5,11,6,0,6,0,6,0
412,6,0,6,0,6,0,5,11,5,11
413,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
414,5,3,5,2,5,2,5,2,-5,-5
415,5,10,5,10,5,10,5,10,5,10
416,5,6,5,6,5,6,5,6,5,6
417,6,0,6,0,6,0,6,0,6,0
418,5,5,5,6,5,5,5,7,5,5
419,5,6,5,6,5,7,5,7,5,7
420,5,7,5,7,5,7,5,7,5,7
421,-5,-5,-5,-5,5,10,-5,-5,-5,-5
422,5,6,5,7,5,7,5,7,5,7
423,-5,-5,-5,-5,5,1,5,1,5,1
424,5,11,-5,-5,-5,-5,-5,-5,5,11
425,5,4,5,4,5,4,5,4,5,4
426,6,2,6,1,6,2,6,2,6,2
427,-5,-5,5,5,5,5,-5,-5,5,5
428,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
429,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
430,-5,-5,-5,-5,5,7,-5,-5,-5,-5
431,5,-4,5,3,5,3,5,3,5,3
432,5,9,5,9,-5,-5,-5,-5,-5,-5
433,5,8,5,8,5,8,-5,-5,-5,-5
434,6,0,6,0,6,0,6,0,6,0
435,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
436,5,0,5,0,5,0,5,0,5,0
437,5,4,5,4,5,4,5,4,5,4
438,4,11,4,11,4,11,4,11,4,11
439,5,5,5,5,5,5,5,5,5,5
440,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
441,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
442,5,4,5,4,5,4,5,3,5,2
443,5,11,5,10,5,10,5,10,-5,-5
444,5,7,5,6,5,7,5,6,5,7
445,6,2,6,2,6,2,6,2,6,2
446,5,1,5,1,-5,-5,-5,-5,-5,-5
447,5,11,-5,-5,-5,-5,-5,-5,5,11
448,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
449,5,2,5,2,5,2,5,2,5,2
450,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
451,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
452,5,4,5,4,5,4,5,4,5,4
453,6,2,6,2,-5,-5,-5,-5,-5,-5
454,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
455,5,4,5,4,5,5,5,4,5,4
456,5,8,5,8,5,8,5,8,5,8
457,5,9,5,9,5,9,5,9,5,9
458,5,7,5,7,5,7,5,7,5,7
459,5,4,5,4,5,5,5,4,5,4
460,5,6,5,6,5,6,5,6,5,6
461,5,7,5,7,5,7,5,7,5,7
462,5,9,5,9,5,9,5,9,5,9
463,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
464,5,11,5,11,5,11,5,11,5,10
465,5,6,5,6,5,6,5,6,5,6
466,5,11,5,11,6,0,6,0,6,0
467,5,1,-1,-1,5,0,5,0,-5,-5
468,5,6,5,6,5,6,5,6,5,5
469,5,8,5,8,5,8,5,8,5,8
470,6,0,5,11,6,0,6,0,5,11
471,5,7,5,7,5,7,5,7,5,5
472,5,6,5,6,5,6,5,6,5,7
473,5,11,5,10,5,10,5,11,5,11
474,5,4,5,4,5,4,5,4,5,4
475,5,3,5,4,5,4,5,4,5,2
476,5,2,5,2,5,2,5,2,5,2
477,6,0,6,0,6,0,6,0,6,0
478,5,5,5,5,5,6,5,5,5,6
479,6,2,6,1,6,1,6,1,6,1
480,5,10,5,10,5,10,5,10,5,10
481,6,3,6,3,6,3,6,3,6,3
482,6,2,6,2,6,2,6,2,6,2
483,5,10,5,9,5,9,5,8,5,8
484,5,9,5,9,5,9,5,9,5,9
485,5,3,5,3,5,3,5,3,5,3
486,2,9,5,9,5,9,5,9,5,9
487,5,7,5,7,5,7,-5,-5,5,7
488,5,10,5,10,5,11,5,11,5,11
489,6,1,6,1,6,1,6,1,6,1
490,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
491,5,4,5,4,5,4,5,4,5,4
492,5,4,5,4,5,4,5,4,5,4
493,5,11,5,10,5,11,5,11,5,11
494,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
495,5,7,5,7,5,7,5,7,5,7
496,5,8,5,8,5,8,5,8,5,8
497,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
498,-5,-5,-5,-5,5,8,5,9,-5,-5
499,5,2,5,2,5,2,5,2,5,2
500,5,3,5,3,5,3,5,3,5,3
501,5,6,5,6,5,5,5,5,5,6
502,5,11,5,11,5,11,5,11,5,11
503,5,6,5,6,5,6,5,6,5,6
504,5,3,5,3,5,2,5,1,5,3
505,5,11,5,11,5,11,5,11,5,11
506,5,4,5,2,5,2,5,4,5,2
507,5,7,5,7,5,7,5,7,5,7
508,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
509,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
510,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
511,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
512,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
513,5,6,5,7,5,7,5,7,5,7
514,5,2,5,2,5,2,5,2,5,2
515,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
516,5,3,5,10,5,0,5,2,5,2
517,5,9,5,9,5,9,5,9,5,9
518,5,8,5,8,5,8,5,8,5,8
519,5,1,5,1,5,1,5,1,5,1
520,6,0,6,0,5,0,6,0,6,0
521,5,10,5,9,5,10,5,9,5,9
522,-5,-5,-5,-5,5,6,-5,-5,5,6
523,-5,-5,-5,-5,6,0,5,11,-5,-5
524,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
525,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
526,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
527,5,3,5,3,5,3,5,3,5,3
528,5,4,5,4,5,4,5,4,5,4
529,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
530,5,7,5,7,5,7,5,4,5,6
531,5,9,5,9,5,10,5,7,5,9
532,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
533,5,0,5,1,5,0,5,0,5,0
534,5,4,5,4,5,4,5,6,5,4
535,5,11,5,11,5,11,-5,-5,5,11
536,5,5,5,6,5,6,5,6,-5,-5
537,-5,-5,5,8,5,8,5,8,5,8
538,6,1,6,1,6,0,-5,-5,6,0
539,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
540,5,9,5,8,5,9,-5,-5,-5,-5
541,5,9,5,9,5,9,5,9,5,9
542,5,6,5,6,5,6,5,6,5,7
543,5,11,5,11,5,11,5,11,5,11
544,5,8,5,7,5,7,5,7,5,8
545,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
546,5,0,5,0,5,0,5,0,5,0
547,5,9,5,9,5,8,5,9,5,9
548,5,6,5,6,5,6,5,6,5,6
549,5,9,5,9,5,9,5,9,5,9
550,5,6,5,6,5,7,5,7,5,6
551,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
552,5,6,5,7,5,6,5,7,5,7
553,6,3,6,3,6,3,6,3,6,3
554,6,4,6,4,6,4,6,4,6,4
555,5,11,5,11,5,11,5,11,5,11
556,6,0,-5,-5,-5,-5,-5,-5,-5,-5
557,5,5,5,5,5,5,5,5,5,4
558,5,4,5,4,5,4,5,4,5,4
559,5,10,5,10,5,10,5,10,5,10
560,5,4,5,4,5,4,5,3,5,4
561,5,1,5,1,5,1,5,1,5,1
562,5,9,5,9,5,9,5,9,5,9
